income,debt,age,employment_years,late_payments,credit_history_years,credit_utilization,active_loans,payment_ratio,creditworthy,debt_to_income,late_payment_rate
74552.98,40537.87,54,2,1,12,0.5,0,1.0,1,0.5437458033200014,0.08333333333333333
40706.77,28145.06,52,7,1,21,0.695,2,0.972,1,0.691409807263018,0.047619047619047616
91112.07,64609.06,40,14,0,24,0.053,2,0.978,1,0.7091163662509259,0.0
99249.95,6581.62,58,1,1,12,0.634,4,1.0,0,0.06631358504462723,0.08333333333333333
27015.79,15148.29,56,10,2,4,0.533,0,0.845,1,0.5607198604963985,0.5
36176.38,13326.21,36,11,2,18,0.35,5,0.865,0,0.36836770290449183,0.1111111111111111
68848.98,4990.21,56,30,0,16,0.5,1,0.948,1,0.07248052186103557,0.0
56377.95,35858.64,66,9,1,24,0.281,5,0.964,1,0.6360401539963763,0.041666666666666664
64510.42,15098.78,61,30,3,13,0.519,1,1.0,0,0.23405180124389208,0.23076923076923078
44279.31,29111.46,56,21,1,1,0.707,4,0.874,1,0.6574506242305944,1.0
96555.34,83447.99,58,21,0,22,0.447,1,1.0,1,0.8642503873944207,0.0
92239.98,14307.21,60,25,0,17,0.224,1,0.921,1,0.15510855488043254,0.0
66960.38,13689.41,35,26,1,20,0.853,4,0.92,1,0.20444044672386863,0.05
107947.59,19443.32,56,6,1,3,0.132,3,0.929,1,0.1801181480753762,0.3333333333333333
80219.49,34195.11,30,13,0,11,0.383,2,0.919,1,0.4262693517498054,0.0
44154.98,12453.58,38,16,3,11,0.548,0,0.974,1,0.28204247856074216,0.2727272727272727
76732.48,11944.21,66,30,1,7,0.365,1,0.912,1,0.1556604191601783,0.14285714285714285
42219.83,35785.57,34,1,1,21,0.347,1,0.841,0,0.8476009969722758,0.047619047619047616
96514.18,23022.85,62,14,2,5,0.463,0,0.921,1,0.23854370414792936,0.4
63555.95,4765.0,41,6,4,2,0.289,1,0.972,1,0.07497331091738854,2.0
59811.58,8116.24,31,6,1,6,0.441,1,0.842,0,0.13569679985046373,0.16666666666666666
47845.11,47759.36,25,23,1,24,0.646,1,0.981,1,0.9982077583268175,0.041666666666666664
112677.63,23374.02,47,6,1,3,0.517,2,1.0,1,0.20744153031972717,0.3333333333333333
60633.59,10967.59,43,24,1,14,0.303,0,1.0,1,0.18088307157798178,0.07142857142857142
53604.86,16112.66,46,30,0,5,0.391,1,0.964,1,0.3005820740880584,0.0
55474.71,18155.54,23,24,1,10,0.334,0,0.814,1,0.32727597854950485,0.1
82593.12,29037.8,34,5,2,14,0.432,0,0.985,1,0.35157649935006696,0.14285714285714285
76618.39,7444.69,21,4,0,1,0.145,2,1.0,1,0.09716583707906157,0.0
78266.29,10420.29,35,13,2,6,0.228,0,0.891,1,0.1331389286498696,0.3333333333333333
78905.96,21494.41,66,17,0,15,0.325,1,0.935,1,0.2724054051176869,0.0
170396.6,16869.03,28,24,2,1,0.712,2,0.974,1,0.09899863025435952,2.0
54136.06,26103.78,54,13,0,12,0.291,2,1.0,1,0.4821883971607834,0.0
51618.39,8094.56,21,5,0,15,0.71,1,0.922,1,0.1568154295397435,0.0
45068.77,22703.19,48,30,0,6,0.451,1,1.0,1,0.503745498268535,0.0
85762.17,36594.62,66,28,4,4,0.172,1,0.962,1,0.4266988580163026,1.0
108031.71,24700.01,37,20,2,12,0.414,1,0.954,1,0.22863666603074223,0.16666666666666666
61751.05,19703.46,30,21,1,18,0.504,2,1.0,1,0.3190789468357218,0.05555555555555555
44536.85,16912.41,48,28,4,1,0.458,3,0.882,1,0.3797396986989426,4.0
44852.11,10461.67,34,14,0,9,0.311,4,0.956,1,0.23324811251912117,0.0
87108.46,17177.02,64,4,3,24,0.298,3,0.942,1,0.19719117982340634,0.125
90817.47,40820.34,62,18,1,9,0.38,2,0.835,1,0.4494767361389829,0.1111111111111111
82997.18,16659.88,52,13,3,8,0.078,1,1.0,1,0.20072826570734092,0.375
48178.26,10094.59,52,24,1,18,0.196,1,0.998,1,0.2095258317755768,0.05555555555555555
72158.12,13071.2,50,23,0,12,0.665,5,0.942,1,0.18114662632563044,0.0
68504.26,20510.24,57,14,1,10,0.348,4,0.922,1,0.29940094236475223,0.1
71721.97,14119.94,43,11,1,19,0.497,3,0.94,0,0.19687049867704415,0.05263157894736842
96209.7,24675.7,68,13,2,1,0.411,0,0.99,1,0.2564782968869044,2.0
71880.52,25285.22,37,19,1,18,0.087,1,0.944,1,0.35176734948495086,0.05555555555555555
88225.71,32079.3,21,19,2,10,0.297,0,0.893,1,0.3636048947636692,0.2
67007.05,45407.87,55,15,2,22,0.609,1,0.904,1,0.6776580971703724,0.09090909090909091
74031.52,34387.05,53,16,2,18,0.094,0,0.939,1,0.4644920163735663,0.1111111111111111
86355.02,9807.2,69,30,2,23,0.898,3,0.875,1,0.11356838316984931,0.08695652173913043
33739.43,10004.89,40,7,2,4,0.526,1,0.963,1,0.29653405525819493,0.5
56291.03,17134.95,41,5,2,5,0.464,0,0.884,1,0.3043992977211467,0.4
52600.18,13424.85,48,24,3,22,0.503,0,0.873,1,0.25522441177957944,0.13636363636363635
48759.12,8588.8,40,28,0,10,0.39,1,1.0,1,0.1761475596770409,0.0
57430.37,13507.86,59,18,1,20,0.689,2,1.0,1,0.23520412631853146,0.05
127371.86,13222.74,41,12,1,17,0.55,2,0.95,1,0.10381209789980299,0.058823529411764705
